"filename","solvent_name","cas","chemical_class","price_usd_per_kg","price_confidence","gwp_kg_co2e_per_kg","htc_ctuh_per_kg","htnc_ctuh_per_kg","etox_ctue_per_kg","lca_confidence","lca_source"
"2-(diethylamino)-ethanol","2-(Diethylamino)ethanol","100-37-8","Tertiary alkanolamine","1.5","low-medium","4.0","","","","low","Estimated: DEAE from EO + diethylamine; amine synthesis energy-intensive. Data not available in open literature; would require ecoinvent license or specialized LCA software"
"2-(dimethylamino)-ethanol","2-(Dimethylamino)ethanol","108-01-0","Tertiary amine alcohol","","low","3.5","","","","low","Estimated: DMAE from EO + dimethylamine; simpler than DEAE. Insufficient data available. Environmental fate studies show readily biodegradable (60.5% BOD in 2 weeks, >90% degradation in 13 days). Substance causes severe skin burns and eye damage."
"2-amino-1-butanol","2-Amino-1-butanol","96-20-8","Amino alcohol (alkanolamine)","","low","3.5","","","","very low","Estimated: amino alcohol from butene oxide + ammonia. No published LCA studies found for 2-amino-1-butanol production. Environmental impact would depend on synthesis route (e.g., from 1-butene oxide + ammonia, or other synthetic pathways). Pharmaceutical"
"2-butanol","2-Butanol","78-92-2","Secondary alcohol","1.025","medium","2.5","","","","low-medium","GWP estimate based on C2-C4 alcohol production studies; bio-based butanol shows 79-122 g CO₂-eq/MJ (corn) and -55 to 18 g CO₂-eq/MJ (sugarcane). Petrochemical route typically higher. Specific sec-buta"
"2-butyne","2-Butyne (Dimethylacetylene)","503-17-3","Alkyne (internal alkyne with formula CH₃C≡CCH₃)","","not available","3.2","","","","low","Estimated: dimethylacetylene from propargyl compounds; specialty chemical. No published LCA data found. Related compounds: butane has GWP of 7 kg CO₂-eq/kg (100-year horizon), acetylene has null GWP per [atmospheric chemistry literature](https://rmets.onlinelibrary.wiley.com"
"2-chloro-1-propanol","2-Chloro-1-propanol","78-89-7","Chlorinated alcohol (halohydrin)","","low","3.75","","","","very low","Estimated: similar to 1-chloro-2-propanol isomer. No published LCA studies found. As an intermediate in propylene oxide production (chlorohydrin process), environmental impacts would be process-dependent. Chlorohydrin route historically energy-intens"
"2-ethyl-1-butanol","2-Ethyl-1-butanol","97-95-0","Branched primary alcohol","3.0","low-medium","3.0","","","","low","No specific LCA study found for 2-ethyl-1-butanol. GWP estimate extrapolated from petrochemical C4-C6 alcohol production. Related compound 2-ethylhexanol studied: syngas route shows lower GWP than bio"
"2-heptanol","2-Heptanol","543-49-7","Secondary alcohol","4.5","low","3.5","","","","low","No specific LCA study found for 2-heptanol in open literature. GWP estimate based on trend that longer-chain alcohols typically have higher carbon footprints due to increased synthesis complexity. Eco"
"2-heptanone","2-Heptanone","110-43-0","Aliphatic ketone","3.63","medium-high","2.5","","","","low","Estimated from heptane oxidation or fatty acid decarboxylation route. Limited public LCA data. Environmental assessment shows biodegradability and non-PBT status per IFRA standards. OH radical degradation rate: 1.17 x 10⁻¹¹ cm³/molecule·sec. Full cradle-to-gate data wou"
"2-hexanone","2-Hexanone","591-78-6","Aliphatic ketone","1.5","low to medium","2.3","","","","low","Estimated from hexane oxidation; similar to MEK production profile. Data not available in public LCA databases. Specific characterization factors would require access to proprietary databases (ecoinvent v3.8+, GaBi) or manufacturer Environmental Product Declarations ("
"2-methyl-1-butanol","2-Methyl-1-butanol","137-32-6","Primary alcohol, C5 branched aliphatic alcohol","1.5","low","3.0","","","","low","Estimated: active amyl alcohol from fusel oil or oxo synthesis. Ecoinvent database contains entries for related alcohol production processes, but specific 2-methyl-1-butanol LCA data was not accessible through web search. USEtox model framework exists for toxicity"
"2-methyl-2-butanol","2-Methyl-2-butanol","75-85-4","Tertiary alcohol, C5 branched aliphatic alcohol","1.3","medium","2.75","","","","low","Estimated: tert-amyl alcohol from 2-methyl-2-butene hydration. Ecoinvent 3.10 includes a dataset for ""2-methyl-2-butanol production"" but specific LCIA results (GWP, USEtox factors) were not accessible through web search. Requires direct database access."
"2-nitropropane","2-Nitropropane","79-46-9","Nitroalkane, aliphatic nitro compound","3.0","low","5.0","","","","low","Nitroalkane: co-produced with 1-nitropropane in vapor-phase nitration. No specific ecoinvent or GREET data found for 2-nitropropane production. EPA IRIS database contains toxicity assessments; classified as Group B2 probable human carcinogen with hepatotoxic effects. USE"
"2-octanol","2-Octanol","123-96-6","Secondary alcohol, C8 aliphatic alcohol","2.25","low-medium","3.5","","","","low","Estimated: secondary C8 alcohol; similar to 2-heptanol range. No specific ecoinvent or USEtox data found for 2-octanol through web search. General LCA frameworks (ecoinvent, IPCC GWP100) exist for alcohol production but specific 2-octanol characterization factor"
"2-pentanol","2-Pentanol","6032-29-7","Secondary alcohol","","low","2.75","","","","low","Estimated: sec-pentanol from n-pentene hydration. Data not available in public ecoinvent or USEtox databases from search results"
"2-pentanone","2-Pentanone","107-87-9","Aliphatic ketone","6.25","medium to high","3.0","","","","low to medium","Estimated GWP based on ketone solvent analogues. Used widely as industrial solvent in coatings, adhesives, and cleaners. Specific cradle-to-gate LCA data would require access to proprietary databases "
"2-propanol","2-Propanol (Isopropanol, IPA)","67-63-0","Secondary alcohol","1.405","high","2.25","","","","medium for gwp; low for toxicity metrics","Ecoinvent database contains isopropanol datasets with GWP100 (IPCC AR6) as primary indicator. Alternative carbon-negative fermentation routes from waste gas have been studied showing negative carbon f"
"2-propenamide","Acrylamide (2-Propenamide)","79-06-1","Vinyl-substituted primary amide","1.56","medium","4.0","","","","low - limited quantitative data","Acrylamide: from acrylonitrile hydration; related to ACN production (GWP=5.5). Cradle-to-gate assessments exist but specific values not in open literature. Production primarily from petroleum-derived acrylonitrile. Industry pursuing bio-based routes using glycerol feedstocks to "
"3-butenenitrile","3-Butenenitrile (Allyl Cyanide)","109-75-1","Aliphatic nitrile","","low","4.5","","","","low","Allyl cyanide: specialty nitrile from allyl halide + cyanide. No specific LCA data found. General nitrile compound production is carbon-intensive; acetonitrile biobased process showed 78% reduction in fossil resource depletion and 64% reduction in climate change"
"3-chloro-1-propanol","3-Chloro-1-propanol","627-30-5","Chlorinated alcohol (chlorohydrin)","38.0","low","3.75","","","","low","Estimated: allyl alcohol + HCl; simple chlorohydrin. No specific ecoinvent or USEtox data found. Chlorohydrins are readily prepared by reaction of alkenes with chlorine and water. Related chloropropanols (3-chloro-1,2-propanediol, 1,3-dichloro-2-propano"
"3-methoxy-1-butanol","3-Methoxy-1-butanol","2517-43-3","Aliphatic ether alcohol","","low","2.7","","","","low","Estimated from butanol + methanol etherification. No ecoinvent or USEtox data found in public literature"
"3-methyl-2-butanol","3-Methyl-2-butanol","598-75-4","Secondary alcohol","","low","2.75","","","","very low","Estimated: from 3-methyl-2-butanone reduction. No ecoinvent or USEtox data found in public literature"
"acetonitrile","Acetonitrile","75-05-8","Nitrile (polar aprotic solvent)","1.845","high","5.5","","","50.0","medium","Published LCA studies (ACS Sustainable Chemistry & Engineering, 2024); fossil-based production: 6.55–7.46 kg CO₂-eq/kg; bio-based alternatives demonstrate 64% reduction (3.50 kg CO₂-eq/kg) and 78% red"
"acetylacetone","Acetylacetone (2,4-Pentanedione)","123-54-6","1,3-diketone","2.6","low","4.25","","","","low","Estimated: ketene + acetone route or isopropenyl acetate pyrolysis; moderate-high energy. Not available in search results; ecoinvent and USEtox databases may contain data but require direct access"
"benzene","Benzene","71-43-2","Aromatic hydrocarbon","0.76","high","1.76","5.5e-07","","","medium-high","Cradle-to-gate LCA data from petrochemical production (catalytic reforming, pyrolysis gasoline, coking by-product). USEtox model for toxicity characterization factors. Alternative bio-based and plasti"
"bis(2-chloroethyl)ether","Bis(2-chloroethyl)ether","111-44-4","Chlorinated aliphatic ether","","low","5.5","","","","low","Estimated: bis(chloroethyl) ether from ethylene oxide + HCl; complex synthesis. Regulatory toxicology assessments (EPA IRIS, Health Canada), not comprehensive LCA"
"bis(4-methylphenyl)sulfoxide","Bis(4-methylphenyl)sulfoxide","1774-35-2","Organosulfur compound (sulfoxide)","","low","5.0","","","","very low","Organosulfur: from p-cresol + SOCl₂ oxidation; multi-step synthesis. No comprehensive LCA data available"
"butanone","Butanone (Methyl Ethyl Ketone)","78-93-3","Aliphatic ketone","1.35","high","2.5","","","","medium","Estimated GWP based on literature comparisons. Toxicity assessment based on EPA IRIS review and ecotoxicity test data. Full cradle-to-gate LCA available in ecoinvent v3.8+ (subscription required)."
"ch2cl2","Dichloromethane (Methylene Chloride)","75-09-2","Chlorinated aliphatic hydrocarbon, halogenated solvent","0.61","high","3.0","","","","low","Estimated from chloromethanes production LCA; direct chlorination of methane. Energy-intensive process. EPA considers dichloromethane a probable human carcinogen (Group B2). IARC classifies it as possibly carcinogenic (Group 2B). USEtox model provides framework for characterization factors but specific "
"chcl3","Chloroform (CHCl₃)","67-66-3","Haloalkane, chlorinated solvent","0.865","medium","3.0","","","","low-medium","Estimated from chloromethanes production; similar energy intensity to DCM production. IPCC GWP values available for atmospheric impacts; production LCA not found in ecoinvent or literature searches"
"chloroacetone","Chloroacetone","78-95-5","Halogenated ketone","","n/a","4.5","","","","very low","Estimated: chlorination of acetone; moderate energy process. No cradle-to-gate LCA studies found in open literature. Ecoinvent database may contain data but requires direct access."
"chloroacetonitrile","Chloroacetonitrile","107-14-2","Aliphatic nitrile, organochlorine compound","","low","5.0","","","","low","Estimated: chlorination of acetonitrile (base ACN GWP=5.5). No specific methodology identified; data not available in public databases"
"cyclohexane","Cyclohexane","110-82-7","Cycloalkane, aliphatic hydrocarbon","1.01","medium-high","2.5","","","","low","LCA studies on cyclohexane production from benzene/H₂ exist (Radzuan et al. 2019) but specific GWP values not accessible in public search results"
"cyclohexanol","Cyclohexanol","108-93-0","Cyclic alcohol, secondary alcohol","1.405","medium-high","3.0","","","","low","No specific LCA studies found for cyclohexanol production; GWP estimated based on cyclohexane feedstock plus oxidation energy requirements"
"cyclopentyl-methyl-ether","Cyclopentyl Methyl Ether (CPME)","5614-37-9","Aliphatic ether","12.5","medium","1.95","","","","low-medium","Process simulation studies (2025), not comprehensive ecoinvent database"
"dichloroacetonitrile","Dichloroacetonitrile","3018-12-0","Halogenated aliphatic nitrile","1.5","low","5.5","","","","very low","Estimated: further chlorination of chloroacetonitrile. Toxicology studies available, but no comprehensive production LCA"
"diethylcarbonate","Diethyl Carbonate","105-58-8","Carbonate ester","1.38","medium-high","2.5","","","","low","Estimated from transesterification of DMC with ethanol; lower than DMC due to milder conditions. Limited published data. Process optimization studies show new production methods can reduce CO₂ emissions by 33.74% compared to conventional processes. Long-term toxicity studies in mice show no adver"
"diethyleneglycol","Diethylene Glycol","111-46-6","Glycol (diol)","0.585","high","4.0","","","195.0","low-medium","Estimated from ethylene glycol production chain (4.28) plus additional ethoxylation step. Related compound (ethylene glycol) has ecoinvent data available. DEG metabolism produces glycolic acid, diglycolic acid, and oxalates associated with nephrotoxicity. Marine ecotoxicity characterized w"
"dimethylcarbonate","Dimethyl Carbonate","616-38-6","Organic carbonate ester, formula (CH₃O)₂CO","0.76","medium-high","2.1","","","","medium-high (for gwp only)","Ecoinvent v3.x data used in published LCA studies. GWP values: Commercial oxidative carbonylation = 3.18 kg CO₂-eq/kg; Integrated CO₂ utilization with RWGS = 1.02 kg CO₂-eq/kg (54% reduction); Electro"
"dimethylformamide","N,N-Dimethylformamide (DMF)","68-12-2","Polar aprotic amide solvent","1.7","medium-high","2.75","","","","medium","Corrected: 0.45 was from single MOF study, not actual production GWP. Petrochemical DMF production via CO + dimethylamine ~2.5-3.0 kg CO₂-eq/kg per ecoinvent. Ecoinvent 3.11 includes dataset for DMF production via direct synthesis (reaction of dimethylamine with CO). Specific GWP value from ecoinvent not publicly disclosed but referenced. DMF listed as Subs"
"dimethylsulfoxide","Dimethyl Sulfoxide (DMSO)","67-68-5","sulfoxide","5.35","medium-high","2.3","","","","low-medium","Comparative literature references, ecoinvent database (specific dataset not accessed)"
"dioxane","1,4-Dioxane","123-91-1","cyclic ether","","low","4.25","","","","low","Estimated: ethylene oxide dimerization is energy-intensive; related to EG production (4.28). not available"
"diphenylether","Diphenyl Ether","101-84-8","Aromatic ether","","low","5.0","","","50.0","low","Estimated: phenol Ullmann coupling; energy-intensive aromatic ether synthesis. Limited LCA data available. EPA provisional peer-reviewed toxicity values exist but chronic/subchronic reference doses are inadequate. Ecotoxicity studies show low aquatic toxicity at current use volu"
"dodecane","Dodecane","112-40-3","Linear alkane (C12 hydrocarbon)","","low","1.75","","","","low","Estimated from petroleum distillation; similar to hexane/heptane range for straight-chain alkanes. No specific dodecane LCA studies found; general petroleum refining LCA data from carbon intensity studies (Nature Climate Change, ACS publications)"
"dpg-monomethyl-ether-acetate","DPG Monomethyl Ether Acetate","88917-22-0","Glycol ether acetate","2.01","medium","4.5","","","","low","Estimated from DPM ether plus acetylation step; ecoinvent 3.8+ has related datasets. Ecoinvent v3.8+ contains production datasets for dipropylene glycol monomethyl ether (Europe and Rest-of-World); acetate derivative LCA data requires database subscription access"
"ethane","Ethane","74-84-0","Alkane (saturated hydrocarbon), Natural Gas Liquid (NGL)","0.16","medium-high","2.75","","","","medium (for ethylene production pathway)","Multiple peer-reviewed LCA studies for ethane-to-ethylene steam cracking. GWP for ethylene production from ethane: 1.3-4.2 kg CO₂-eq/kg ethylene (varies by energy source, heat integration, hydrogen ha"
"ethanol","Ethanol","64-17-5","Primary alcohol","1.01","high","1.1","","","","high (for gwp); low (for toxicity metrics)","Ecoinvent v3.8+, GREET model, multiple peer-reviewed LCA studies using IPCC GWP100, TRACI 2005, ILCD 2011 methodologies. GWP varies by feedstock: broken grains (0.536-0.983), sugar beet/maize stover ("
"ethylacetate","Ethyl Acetate","141-78-6","Ester (carboxylic acid ester)","0.97","high","1.75","","","","medium (for gwp); low (for toxicity metrics)","Ecoinvent v3.6+ contains ethyl acetate production datasets (Europe, UPR system models). GWP estimate derived from bio-acetic acid LCA study using ethyl acetate as extraction solvent. IPCC methods and "
"glycol","Ethylene Glycol","107-21-1","Aliphatic diol, polyhydric alcohol","0.565","high","4.285","","","","medium","GWP varies by production route: ethane-based (1.28 kg CO₂-eq/kg), oil-based (4.52), coal-based (7.29), biomass-based (3.84). Values represent cradle-to-gate assessment based on literature studies circ"
"h2o","Water (H₂O)","7732-18-5","Inorganic oxide, polar solvent","0.005","low","0.0003","","","","medium","Tap water production GWP negligible; primarily pumping/treatment energy. Water vapor atmospheric GWP ~0. Water vapor has negligible GWP (-0.001 to 0.0005 on 100-year basis) due to rapid atmospheric removal via precipitation. For produced tap water, GWP primarily comes from pumping energy and treatment ch"
"hexafluoro-i-propanol","Hexafluoroisopropanol (HFIP)","920-66-1","Fluorinated alcohol, fluoroalcohol","114.5","medium","191.5","","","","low","GWP represents atmospheric greenhouse effect (195× CO₂) per IPCC AR5, not production cradle-to-gate LCA. HFIP is energy-intensive to produce (TFE requires >10,000 kWh/ton). Environmental concerns: per"
"hexane","Hexane","110-54-3","Linear alkane, aliphatic hydrocarbon","1.62","medium-high","1.75","","","","medium","GWP estimated from petroleum refining cradle-to-gate studies. Hexane is extracted during crude oil distillation/fractionation. One study showed replacing hexane with ethanol in soybean oil extraction "
"isopropylamine","Isopropylamine","75-31-0","Primary amine","1.58","medium-high","2.75","","","","low","Estimated from acetone + ammonia reductive amination; moderate energy process. No comprehensive LCA identified. Estimated GWP likely 2.5-4.0 kg CO₂-eq/kg based on amine production energy intensity and ammonia feedstock (~1.9 kg CO₂-eq/kg NH₃)"
"methanol","Methanol","67-56-1","Primary alcohol (simplest aliphatic alcohol)","0.54","high","1.57","","","","high (for gwp), low (for toxicity metrics)","Multiple cradle-to-gate LCA studies using ecoinvent 3.8-3.9. GWP varies by production route: traditional steam methane reforming (SMR) = 0.944 kg CO₂-eq/kg; state-of-art natural gas = 2.05-2.20 kg CO₂"
"methylacetate","Methyl Acetate","79-20-9","Acetate ester","1.2","medium","1.75","","","","low","Estimated from acetic acid (1.2) + methanol (1.57) esterification; relatively low energy process. No dedicated cradle-to-gate LCA identified. Mentioned in terephthalic acid production wastewater studies. Estimated GWP likely 1.5-2.5 kg CO₂-eq/kg based on acetic acid (1.2 kg CO₂-eq/kg) and methanol"
"n,n-dimethylacetamide","N,N-Dimethylacetamide (DMAc)","127-19-5","Polar aprotic solvent, amide","0.8","medium","3.25","","","0.5","low to medium","Estimated from DMAc production (acetic acid + dimethylamine); similar to DMF production profile. DMAc is used as solvent in polymeric membrane production LCA studies. In comparative polyurethane coating LCA (ecoinvent v3.8, SimaPro v9.4), NMP process showed higher GWP than alternatives, suggestin"
"n-heptane","n-Heptane","142-82-5","Linear alkane, aliphatic hydrocarbon","2.2","medium-high","1.75","","","100.0","low-medium","GWP estimated from petroleum refining LCA literature and Ecoinvent database coverage of petrochemical solvents (Sutter 2007). n-Heptane is produced via petroleum distillation/refining. Specific cradle"
"n-methyl-2-pyrrolidinone","N-Methyl-2-pyrrolidone (NMP)","872-50-4","Polar aprotic solvent, cyclic amide","4.0","medium","3.11","360.0","","","medium","Ecoinvent v3.8 and v3.10 contain NMP production data. In comparative cradle-to-gate LCA of polyurethane processes (CML 2001, ReCiPe Midpoint H), NMP process showed GWP of 3.11 kg CO₂-eq with highest i"
"oleyl-alcohol","Oleyl Alcohol","143-28-2","Unsaturated fatty alcohol, long-chain aliphatic alcohol","3.05","medium-high","5.27","","","","medium","Corrected: -0.20 excluded land use change and used controversial biogenic C credit. Palm kernel oil oleochemical route = 5.27 (J. Surfactants Detergents 2016). Petro route = 2.97. Cradle-to-gate LCA studies (ReCiPe Midpoint H, 18 impact categories) show oleochemical fatty alcohol"
"phenylacetonitrile","Phenylacetonitrile","140-29-4","Aromatic nitrile","","low","4.5","","","","low","Benzyl cyanide: from benzyl chloride + NaCN; aromatic nitrile synthesis. No public LCA data available"
"propanol","1-Propanol (n-Propanol)","71-23-8","Primary alcohol (C3)","1.1","high","3.0","","","","medium","Corrected: 4.55 was novel production study outlier. Conventional n-propanol from propionaldehyde hydrogenation ~2.5-3.5. Published LCA study on novel propanol production (Environmental Performance Assessment, PMC9354509). Range reflects different production pathways: 7.1 kg CO₂-eq/kg for conventional production, 2.0 kg "
"propanone","Acetone (Propanone)","67-64-1","Ketone (aliphatic)","0.91","high","2.55","","","","medium","Ecoinvent 3.8+; cumene process co-product allocation. Range 1.8-3.5 depending on allocation method. Available in ecoinvent v3.8+ database; cumene precursor dominates environmental impact (59–86% across categories). Specific characterization factors require database access."
"propylenecarbonate","Propylene Carbonate","108-32-7","Cyclic carbonate ester","0.68","high","0.5","","","","medium","CO₂-based synthesis via propylene oxide cycloaddition; net CO₂ consumer in some routes. ReCiPe 2016, Ecoinvent 3.10; CO₂-based synthesis via propylene oxide cycloaddition"
"propyleneglycol","Propylene Glycol","57-55-6","Aliphatic diol (glycol)","1.17","high","6.34","","","","medium","Corrected per CarbonCloud database (propylene oxide hydration route). Glycerol hydrogenolysis route lower (~3.8). Ecoinvent 3.10, ISO-certified LCA studies; glycerol hydrogenolysis vs propylene oxide routes"
"tert-butanol","tert-Butanol","75-65-0","Tertiary alcohol","1.025","medium","2.15","","","","low","Estimated from isobutylene hydration; similar to IPA production energy profile. Data available in ecoinvent database but specific values not publicly accessible. [Ecoinvent](https://ecoinvent.org/database/) contains tert-butanol datasets; [Climatiq](https://www.climatiq.io/data/e"
"thf","Tetrahydrofuran (THF)","109-99-9","Cyclic ether, heterocyclic compound","2.045","high","14.9","","","","high","Corrected per ACS Sustainable Resource Management 2024: fossil-based THF cradle-to-gate = 14.9 kg CO₂-eq/kg. Bio-based 2-MeTHF = 3.24-4.4. Cradle-to-gate analysis; bio-based alternatives studied extensively. Data available in [ecoinvent database](https://ecoinvent.org/database/). Renewabl"
